"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct"
"5108","consentA2.html","external-html","0","2.0.0","5132","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","","","","","","","","","",""
"1535","","fullscreen","1","2.0.0","7675","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","true","","","","","","","","","","",""
"3645","","survey-text","2","2.0.0","11326","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","demo","{""Q0"":""52""}","","","","","","","","",""
"12127","","survey-multi-choice","3","2.0.0","23455","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","{""gender"":""keine Angabe"",""handedness"":""beidh&aumlndig"",""language"":""andere""}","[0,1,2]","","","","","","","",""
"","","preload","4","2.0.0","23716","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","true","","","","false","[]","[]","[]","","","",""
"","","preload","5","2.0.0","23988","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","true","","","","false","[]","[]","[]","","","",""
"","","preload","6","2.0.0","24161","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","true","","","","false","[]","[]","[]","","","",""
"876","","html-keyboard-response","7","2.0.0","25038","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","",""
"486","","html-keyboard-response","8","2.0.0","25525","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch Gesichter angezeigt.</p>
    <p>Bitte achte genau auf jedes Gesicht und seinen Namen.</p>
    <p>Du musst nichts tun. Die Gesichter erscheinen von selbst und du brauchst nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen, wenn du bereit bist.</p>
  ","","",""
"null","","html-keyboard-response","9","2.0.0","26535","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","10","2.0.0","27544","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_2.jpg"">
      <p class=""person-name"">Maja</p>
    ","","",""
"null","","html-keyboard-response","11","2.0.0","28562","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","12","2.0.0","29574","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_4.jpg"">
      <p class=""person-name"">Florian</p>
    ","","",""
"null","","html-keyboard-response","13","2.0.0","30576","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","14","2.0.0","31585","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_4.jpg"">
      <p class=""person-name"">Frieda</p>
    ","","",""
"null","","html-keyboard-response","15","2.0.0","32613","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","16","2.0.0","33623","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
      <p class=""person-name"">Annie</p>
    ","","",""
"null","","html-keyboard-response","17","2.0.0","34645","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","18","2.0.0","35657","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_3.jpg"">
      <p class=""person-name"">Hubert</p>
    ","","",""
"null","","html-keyboard-response","19","2.0.0","36682","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","20","2.0.0","37693","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_1.jpg"">
      <p class=""person-name"">Olivia</p>
    ","","",""
"null","","html-keyboard-response","21","2.0.0","38710","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","22","2.0.0","39717","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_2.jpg"">
      <p class=""person-name"">Frank</p>
    ","","",""
"null","","html-keyboard-response","23","2.0.0","40745","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","24","2.0.0","41748","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_5.jpg"">
      <p class=""person-name"">August</p>
    ","","",""
"null","","html-keyboard-response","25","2.0.0","42769","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","26","2.0.0","43780","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_3.jpg"">
      <p class=""person-name"">Marla</p>
    ","","",""
"null","","html-keyboard-response","27","2.0.0","44796","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","28","2.0.0","45802","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_1.jpg"">
      <p class=""person-name"">Karl</p>
    ","","",""
"1201","","html-keyboard-response","29","2.0.0","47516","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
    <p>Nun wirst du eine Reihe von Gesichtern mit einem Objekt und einem dazugehörigen Satz sehen.</p>
    <p>Drücke 'L', wenn der Satz falsch ist, und 'A', wenn der Satz richtig ist.</p>
    </p></p>
    <p>Wie in diesem Beispiel: Wenn auf dem Bildschirm Anas Gesicht und ein Teddybär erscheinen und der Satz lautet 'Ana hat einen Stift', drücke 'A' (NEIN).</p>
    <br />
    <div>
      <img src='https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/Example/Ana.jpg'  class=""img-instructions"" />
      <img src='https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/Example/Teddy.jpg' class=""img-instructions"" />
    </div>
    <br />
    <p>Drücke eine beliebige Taste, um zu beginnen.</p>
  ","","",""
"null","","html-keyboard-response","30","2.0.0","48536","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"385","","html-keyboard-response","31","2.0.0","48922","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_2.jpg"">
        <img class=""object-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/objects/butterfly.jpg"">
      </div>
      <p class=""person-name"">Maja hat einen Schmetterling.</p>
    ","response","l","true"
"null","","html-keyboard-response","32","2.0.0","49426","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"806","","html-keyboard-response","33","2.0.0","50234","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_4.jpg"">
        <img class=""object-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/objects/glasses.jpg"">
      </div>
      <p class=""person-name"">Florian hat einen Kühlschrank.</p>
    ","response","a","false"
"null","","html-keyboard-response","34","2.0.0","50751","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"742","","html-keyboard-response","35","2.0.0","51494","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_5.jpg"">
        <img class=""object-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/objects/watering-can.jpg"">
      </div>
      <p class=""person-name"">August hat eine Gießkanne.</p>
    ","response","l","true"
"null","","html-keyboard-response","36","2.0.0","52006","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"919","","html-keyboard-response","37","2.0.0","52926","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_4.jpg"">
        <img class=""object-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/objects/ball.jpg"">
      </div>
      <p class=""person-name"">Frieda hat ein Schloss.</p>
    ","response","a","false"
"1427","","html-keyboard-response","38","2.0.0","54354","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
    <p>Jetzt wirst du für etwa 20 Minuten Tetris spielen.</p>
    <p>Benutze die Pfeiltasten auf der Tastatur, um die Teile zu bewegen.</p>
    </p></p>
    <p>Drücke die Leertaste, um zu beginnen. Wenn der Spielbildschirm erscheint, klicke auf 'Play', um das Spiel zu starten.</p>
    <p>Wenn du verlierst, wähle 'Try again', um das Spiel neu zu starten. Du wirst auf diese Weise spielen, bis die Zeit abläuft.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen.<p>
  ","","",""
"null","","html-keyboard-response","39","2.0.0","69870","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","
    <div class=""tetris-visible""></div>
  ","","",""
"1783","","html-keyboard-response","40","2.0.0","72170","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
    <p>Als Nächstes wirst du eine Reihe von Gesichtern auf dem Bildschirm sehen.</p>
    </p></p>
    <p>Wenn du das Gesicht zuvor gesehen hast, drücke 'L' (ja).</p>
    <p>Wenn du das Gesicht nicht gesehen hast, drücke 'A' (nein).</p>
    <p>Drücke eine beliebige Taste, um zu beginnen.<p>
  ","","",""
"null","","html-keyboard-response","41","2.0.0","73194","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"838","","html-keyboard-response","42","2.0.0","74033","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/new-faces/newface_4.jpg"">
      </div>
    ","response","a","false"
"null","","html-keyboard-response","43","2.0.0","74548","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"291","","html-keyboard-response","44","2.0.0","74840","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","l","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_4.jpg"">
      </div>
    ","response","l","true"
"null","","html-keyboard-response","45","2.0.0","75345","35r3zsbefy59op1","true","52","keine Angabe","beidh&aumlndig","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
