"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct"
"4936","consentA2.html","external-html","0","2.0.0","4984","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","","","","","","","","","",""
"1693","","fullscreen","1","2.0.0","7692","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","true","","","","","","","","","","",""
"3473","","survey-text","2","2.0.0","11168","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","demo","{""Q0"":""10""}","","","","","","","","",""
"4715","","survey-multi-choice","3","2.0.0","15884","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","",""
"","","preload","4","2.0.0","16736","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"","","preload","5","2.0.0","17217","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"","","preload","6","2.0.0","17505","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"689","","html-keyboard-response","7","2.0.0","18195","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","Enter","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","",""
"479","","html-keyboard-response","8","2.0.0","18675","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","Enter","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch Gesichter angezeigt.</p>
    <p>Bitte achte genau auf jedes Gesicht und seinen Namen.</p>
    <p>Du musst nichts tun. Die Gesichter erscheinen von selbst und du brauchst nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen, wenn du bereit bist.</p>
  ","","",""
"null","","html-keyboard-response","9","2.0.0","19685","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","10","2.0.0","20695","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_5.jpg"">
      <p class=""person-name"">Michael</p>
    ","","",""
"null","","html-keyboard-response","11","2.0.0","21704","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","12","2.0.0","22717","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_2.jpg"">
      <p class=""person-name"">Gerhard</p>
    ","","",""
"null","","html-keyboard-response","13","2.0.0","23737","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","14","2.0.0","24746","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_4.jpg"">
      <p class=""person-name"">Viola</p>
    ","","",""
"null","","html-keyboard-response","15","2.0.0","25758","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","16","2.0.0","26767","f7wncwqrtdf914z","true","10","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
      <p class=""person-name"">Sophia</p>
    ","","",""
