"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct"
"8033","consentA2.html","external-html","0","2.0.0","8051","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","","","","","","","","","",""
"1858","","fullscreen","1","2.0.0","10925","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","true","","","","","","","","","","",""
"3256","","survey-text","2","2.0.0","14187","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","demo","{""Q0"":""18""}","","","","","","","","",""
"12228","","survey-multi-choice","3","2.0.0","26418","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","{""gender"":""weiblich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","",""
"","","preload","4","2.0.0","26794","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"","","preload","5","2.0.0","27058","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"","","preload","6","2.0.0","27260","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"734","","html-keyboard-response","7","2.0.0","27995","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","",""
"411","","html-keyboard-response","8","2.0.0","28407","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch Gesichter angezeigt.</p>
    <p>Bitte achte genau auf jedes Gesicht und seinen Namen.</p>
    <p>Du musst nichts tun. Die Gesichter erscheinen von selbst und du brauchst nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen, wenn du bereit bist.</p>
  ","","",""
"null","","html-keyboard-response","9","2.0.0","29437","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","10","2.0.0","30448","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
      <p class=""person-name"">Mathilda</p>
    ","","",""
"null","","html-keyboard-response","11","2.0.0","31475","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","12","2.0.0","32489","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_3.jpg"">
      <p class=""person-name"">Michael</p>
    ","","",""
"null","","html-keyboard-response","13","2.0.0","33507","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","14","2.0.0","34516","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_2.jpg"">
      <p class=""person-name"">Sophie</p>
    ","","",""
"null","","html-keyboard-response","15","2.0.0","35539","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","16","2.0.0","36550","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_4.jpg"">
      <p class=""person-name"">Walter</p>
    ","","",""
"null","","html-keyboard-response","17","2.0.0","37571","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","18","2.0.0","38581","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_5.jpg"">
      <p class=""person-name"">Heinz</p>
    ","","",""
"null","","html-keyboard-response","19","2.0.0","39600","gbwqyb2c06u3joc","true","18","weiblich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
