"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct"
"3908","consentA2.html","external-html","0","2.0.0","3932","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","","","","","","","","","",""
"1596","","fullscreen","1","2.0.0","6545","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","true","","","","","","","","","","",""
"1336","","survey-text","2","2.0.0","7887","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","demo","{""Q0"":""90""}","","","","","","","","",""
"4659","","survey-multi-choice","3","2.0.0","12549","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","{""gender"":""m&aumlnnlich"",""handedness"":""links"",""language"":""Deutsch""}","[0,1,2]","","","","","","","",""
"","","preload","4","2.0.0","12820","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"","","preload","5","2.0.0","13094","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"","","preload","6","2.0.0","13301","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","true","","","","false","[]","[]","[]","","","",""
"557","","html-keyboard-response","7","2.0.0","13859","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","",""
"372","","html-keyboard-response","8","2.0.0","14232","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch Gesichter angezeigt.</p>
    <p>Bitte achte genau auf jedes Gesicht und seinen Namen.</p>
    <p>Du musst nichts tun. Die Gesichter erscheinen von selbst und du brauchst nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen, wenn du bereit bist.</p>
  ","","",""
"null","","html-keyboard-response","9","2.0.0","15258","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","10","2.0.0","16270","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_1.jpg"">
      <p class=""person-name"">Artur</p>
    ","","",""
"null","","html-keyboard-response","11","2.0.0","17284","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","12","2.0.0","18296","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
      <p class=""person-name"">Emm</p>
    ","","",""
"null","","html-keyboard-response","13","2.0.0","19313","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","14","2.0.0","20327","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_2.jpg"">
      <p class=""person-name"">Edmund</p>
    ","","",""
"null","","html-keyboard-response","15","2.0.0","21354","wzex9m07fes9y9a","true","90","m&aumlnnlich","links","Deutsch","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
