"rt","url","trial_type","trial_index","plugin_version","time_elapsed","subject","fullscreen","age","gender","handedness","language","success","type","response","question_order","timeout","failed_images","failed_audio","failed_video","stimulus","task","correct_response","correct"
"3686","consentA2.html","external-html","0","2.0.0","3704","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","","","","","","","","","",""
"1458","","fullscreen","1","2.0.0","6170","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","true","","","","","","","","","","",""
"4612","","survey-text","2","2.0.0","10789","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","demo","{""Q0"":""18""}","","","","","","","","",""
"4815","","survey-multi-choice","3","2.0.0","15606","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","{""gender"":""weiblich"",""handedness"":""rechts"",""language"":""andere""}","[0,1,2]","","","","","","","",""
"","","preload","4","2.0.0","15653","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","",""
"","","preload","5","2.0.0","15760","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","",""
"","","preload","6","2.0.0","15773","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","true","","","","false","[]","[]","[]","","","",""
"10472","","html-keyboard-response","7","2.0.0","26246","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","",""," ","","","","","","Willkommen zum Experiment. Drücken Sie eine beliebige Taste, um zu beginnen.","","",""
"330","","html-keyboard-response","8","2.0.0","26577","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","",""," ","","","","","","
    <p>In diesem Experiment werden nacheinander automatisch Gesichter angezeigt.</p>
    <p>Bitte achte genau auf jedes Gesicht und seinen Namen.</p>
    <p>Du musst nichts tun. Die Gesichter erscheinen von selbst und du brauchst nichts weiter zu tun, außer aufmerksam zu sein.</p>
    <p>Drücke eine beliebige Taste, um zu beginnen, wenn du bereit bist.</p>
  ","","",""
"null","","html-keyboard-response","9","2.0.0","27603","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","10","2.0.0","28614","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_3.jpg"">
      <p class=""person-name"">Sabrina</p>
    ","","",""
"null","","html-keyboard-response","11","2.0.0","29644","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","12","2.0.0","30647","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_4.jpg"">
      <p class=""person-name"">Jörg</p>
    ","","",""
"null","","html-keyboard-response","13","2.0.0","31661","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","14","2.0.0","32674","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_2.jpg"">
      <p class=""person-name"">Theo</p>
    ","","",""
"null","","html-keyboard-response","15","2.0.0","33703","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","16","2.0.0","34707","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_1.jpg"">
      <p class=""person-name"">Carla</p>
    ","","",""
"null","","html-keyboard-response","17","2.0.0","35723","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","18","2.0.0","36738","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_4.jpg"">
      <p class=""person-name"">Annalena</p>
    ","","",""
"null","","html-keyboard-response","19","2.0.0","37756","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","20","2.0.0","38771","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
      <p class=""person-name"">Sophie</p>
    ","","",""
"null","","html-keyboard-response","21","2.0.0","39796","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","22","2.0.0","40807","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_3.jpg"">
      <p class=""person-name"">Gustav</p>
    ","","",""
"null","","html-keyboard-response","23","2.0.0","41823","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","24","2.0.0","42837","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_2.jpg"">
      <p class=""person-name"">Leonie</p>
    ","","",""
"null","","html-keyboard-response","25","2.0.0","43867","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","26","2.0.0","44880","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_5.jpg"">
      <p class=""person-name"">Hartmut</p>
    ","","",""
"null","","html-keyboard-response","27","2.0.0","45909","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"null","","html-keyboard-response","28","2.0.0","46917","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","
      <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//men/man_1.jpg"">
      <p class=""person-name"">Harald</p>
    ","","",""
"3039","","html-keyboard-response","29","2.0.0","50460","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","Enter","","","","","","
    <p>Nun wirst du eine Reihe von Gesichtern mit einem Objekt und einem dazugehörigen Satz sehen.</p>
    <p>Drücke 'L', wenn der Satz falsch ist, und 'A', wenn der Satz richtig ist.</p>
    </p></p>
    <p>Wie in diesem Beispiel: Wenn auf dem Bildschirm Anas Gesicht und ein Teddybär erscheinen und der Satz lautet 'Ana hat einen Stift', drücke 'A' (NEIN).</p>
    <br />
    <div>
      <img src='https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/Example/Ana.jpg'  class=""img-instructions"" />
      <img src='https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/Example/Teddy.jpg' class=""img-instructions"" />
    </div>
    <br />
    <p>Drücke eine beliebige Taste, um zu beginnen.</p>
  ","","",""
"null","","html-keyboard-response","30","2.0.0","51487","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
"726","","html-keyboard-response","31","2.0.0","52215","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","a","","","","","","
      <div class=""imgs-container"">
        <img class=""person-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master//women/woman_5.jpg"">
        <img class=""object-img"" src=""https://raw.githubusercontent.com/saramff/face-recognition-images/refs/heads/master/objects/watering-can.jpg"">
      </div>
      <p class=""person-name"">Sophie hat eine Gießkanne.</p>
    ","response","l","false"
"null","","html-keyboard-response","32","2.0.0","52719","yev7el0fpmr3pzx","true","18","weiblich","rechts","andere","","","null","","","","","","<div style=""font-size:60px;"">+</div>","fixation","",""
